                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6562,                 4.0042,                  1.571,                0.00378,                0.97143,                0.00417,                0.00258,                 1.1554,                 3.5405,                 1.2329,                0.00012,                0.00012,                0.00012
                      2,                 1.1809,                 3.1173,                  1.308,                0.00389,                      1,                0.79875,                0.43742,                0.86133,                  3.117,                0.98056,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.0208,                  1.711,                 1.0743,                0.00389,                      1,                  0.962,                0.67222,                0.96389,                 2.8255,                0.96448,             0.00039208,             0.00039208,             0.00039208
                      4,                0.95313,                  1.536,                 1.0171,                0.95534,                    0.8,                0.95543,                0.70129,                 0.7857,                 2.7782,                0.91207,             0.00052396,             0.00052396,             0.00052396
                      5,                0.93155,                 1.2471,                 1.0126,                 0.8696,                0.19136,                 0.8939,                0.60365,                0.85593,                 2.7927,                0.95076,             0.00065307,             0.00065307,             0.00065307
                      6,                0.97948,                 1.4298,                 1.0791,                0.00776,                0.97143,                0.68719,                0.55483,                0.72071,                 2.9224,                0.93581,             0.00077941,             0.00077941,             0.00077941
                      7,                0.93122,                 1.3396,                  1.039,                      1,                0.61242,                0.83069,                0.66462,                0.86661,                 2.8916,                 1.0223,             0.00090298,             0.00090298,             0.00090298
                      8,                0.95965,                 1.2062,                 1.0602,                      1,                0.30129,                0.91816,                0.74061,                0.85517,                 2.6041,                0.99999,              0.0010238,              0.0010238,              0.0010238
                      9,                 0.9376,                 1.1528,                 1.0445,                      1,                0.71435,                0.93431,                0.75907,                0.80799,                 2.2834,                 1.0092,              0.0011418,              0.0011418,              0.0011418
                     10,                0.89494,                  1.119,                 1.0259,                      1,                0.84087,                0.95601,                0.71895,                0.89814,                 2.0934,                 1.0784,               0.001257,               0.001257,               0.001257
                     11,                0.91929,                 1.0526,                 1.0589,                0.97875,                0.88571,                0.96866,                0.77298,                0.83307,                 1.4771,                 1.0208,              0.0013695,              0.0013695,              0.0013695
                     12,                0.95288,                 1.1684,                 1.1093,                0.99737,                0.97143,                 0.9751,                0.79056,                0.79558,                 1.5144,                 1.0249,              0.0014792,              0.0014792,              0.0014792
                     13,                0.90106,                 1.0605,                 1.1057,                0.98513,                0.97143,                0.97508,                0.79237,                0.79001,                 1.4173,                 1.0378,              0.0015862,              0.0015862,              0.0015862
                     14,                0.95002,                0.98729,                 1.0966,                0.94441,                0.97087,                 0.9666,                0.79535,                0.76639,                  1.373,                 1.0105,              0.0016903,              0.0016903,              0.0016903
                     15,                 0.9533,                0.97394,                 1.0366,                0.91158,                0.88373,                0.96136,                0.78629,                0.77558,                 1.3376,                0.98077,              0.0017228,              0.0017228,              0.0017228
                     16,                0.91195,                 0.9227,                 1.0254,                0.99081,                      1,                  0.995,                0.83178,                0.66722,                  1.159,                0.93159,               0.001703,               0.001703,               0.001703
                     17,                0.85416,                0.84145,                  1.008,                0.99549,                      1,                  0.995,                0.83718,                 0.6832,                 1.1149,                0.95119,              0.0016832,              0.0016832,              0.0016832
                     18,                0.90977,                0.85169,                 1.0362,                0.99736,                      1,                  0.995,                0.83039,                0.74629,                0.96602,                0.97251,              0.0016634,              0.0016634,              0.0016634
                     19,                0.92109,                0.95799,                 1.0702,                0.94583,                0.99775,                0.97999,                0.77915,                0.88482,                 1.0803,                 1.0315,              0.0016436,              0.0016436,              0.0016436
                     20,                0.85781,                0.82132,                 1.0113,                      1,                0.99831,                  0.995,                0.83143,                0.72609,                 0.7747,                0.96285,              0.0016238,              0.0016238,              0.0016238
                     21,                0.83371,                0.75339,                0.99712,                0.99857,                      1,                  0.995,                0.84192,                0.65043,                0.65384,                0.92022,               0.001604,               0.001604,               0.001604
                     22,                0.91383,                0.86636,                 1.0805,                      1,                0.99803,                  0.995,                0.83686,                0.64985,                0.63876,                0.93123,              0.0015842,              0.0015842,              0.0015842
                     23,                0.89606,                0.83052,                  1.033,                      1,                0.99835,                  0.995,                0.83995,                0.65305,                 0.6253,                0.94258,              0.0015644,              0.0015644,              0.0015644
                     24,                0.87041,                0.78346,                 1.0523,                0.99773,                      1,                  0.995,                 0.8448,                0.62083,                0.59722,                0.90267,              0.0015446,              0.0015446,              0.0015446
                     25,                0.80923,                0.72553,                0.99794,                0.99792,                      1,                  0.995,                0.84906,                0.64453,                0.58546,                0.91123,              0.0015248,              0.0015248,              0.0015248
                     26,                0.77162,                0.71384,                0.97617,                0.99808,                      1,                  0.995,                 0.8312,                0.68184,                0.58759,                0.91628,               0.001505,               0.001505,               0.001505
                     27,                 0.7731,                0.68215,                0.96241,                0.99752,                      1,                  0.995,                0.82677,                0.71151,                0.61507,                0.93391,              0.0014852,              0.0014852,              0.0014852
                     28,                0.79648,                0.70615,                0.98761,                0.99774,                      1,                  0.995,                 0.8457,                0.64367,                0.57011,                0.89949,              0.0014654,              0.0014654,              0.0014654
                     29,                0.81184,                 0.6554,                0.99672,                0.99744,                      1,                  0.995,                0.84835,                0.63241,                0.53175,                0.88928,              0.0014456,              0.0014456,              0.0014456
                     30,                0.77969,                0.70086,                0.99266,                0.98627,                      1,                  0.995,                0.84938,                0.63397,                0.54663,                0.88597,              0.0014258,              0.0014258,              0.0014258
                     31,                0.78631,                0.65402,                 0.9481,                0.99152,                      1,                  0.995,                0.81786,                0.69565,                0.62797,                0.91371,               0.001406,               0.001406,               0.001406
